Id,UserId,IsFrozen
0Yw0N000005IhgVSAS,0050N000006pLl6QAE,TRUE
0Yw0N000005IpnySAC,0050N000006pTx5QAE,TRUE
0Yw0N000005Iqr3SAC,0050N000006pV4vQAE,TRUE
0Yw0N000005Iqr8SAC,0050N000006pV50QAE,TRUE
0Yw0N000005IqrDSAS,0050N000006pV55QAE,TRUE
0Yw0N000005CHGkSAO,0050N000007repzQAA,TRUE
0Yw0N000005CHQBSA4,0050N000007rf7gQAA,TRUE
0Yw0N000005CHQLSA4,0050N000007rf7vQAA,TRUE
0Yw0N000005CHQQSA4,0050N000007rf80QAA,TRUE
0Yw0N000005CHQfSAO,0050N000007rf8FQAQ,TRUE
0Yw0N0000062OppSAE,0050N000007tRuhQAE,TRUE
0Yw0N0000062OpuSAE,0050N000007tRumQAE,TRUE
0Yw0N0000062OpzSAE,0050N000007tRurQAE,TRUE
0Yw0N0000062Oq4SAE,0050N000007tRuwQAE,TRUE
0Yw0N0000062Oq9SAE,0050N000007tRv1QAE,TRUE
0Yw0N0000062ZRtSAM,0050N000007tcZ1QAI,TRUE
0Yw0N0000062ZRySAM,0050N000007tcZ6QAI,TRUE
0Yw0N0000062ZS3SAM,0050N000007tcZBQAY,TRUE
0Yw0N0000062ZS8SAM,0050N000007tcZGQAY,TRUE
0Yw0N0000062ZSDSA2,0050N000007tcZLQAY,TRUE
0Yw0N0000062ZSNSA2,0050N000007tcZVQAY,TRUE
0Yw0N0000062ZSSSA2,0050N000007tcZaQAI,TRUE
0Ywb0000000IeAQCA0,005b0000000eZCmAAM,TRUE
0Ywb0000000IeARCA0,005b0000000eZCnAAM,TRUE
0Ywb0000000IeASCA0,005b0000000eZCoAAM,TRUE
0Ywb0000000IeATCA0,005b0000000eZCpAAM,TRUE
0Ywb0000000K56GCAS,005b0000000gAkWAAU,TRUE
0Ywb0000000K56KCAS,005b0000000gAkaAAE,TRUE
0Ywb0000000K58UCAS,005b0000000gAmkAAE,TRUE
0Ywb0000000K58XCAS,005b0000000gAmnAAE,TRUE
0Ywb0000000K58aCAC,005b0000000gAmqAAE,TRUE
0Ywb0000000K5CpCAK,005b0000000gAr5AAE,TRUE
0Ywb0000000K5CrCAK,005b0000000gAr7AAE,TRUE
0Ywb0000000K5CsCAK,005b0000000gAr8AAE,TRUE
0Ywb0000000KBmMCAW,005b0000000gIa9AAE,TRUE
0Ywb0000000wNUjCAM,005b0000001ZMq9AAG,TRUE
0Ywb0000001ZqNkCAK,005b0000001w8JFAAY,TRUE
0Ywb0000001a4nNCAQ,005b0000001wMnxAAE,TRUE
0Yw0N000005BeqeSAC,0050N000005xWeFQAU,TRUE
